id,release_date,movie,production_budget,domestic_gross,worldwide_gross,production_budget_num,domestic_gross_num,worldwide_gross_num,domestic_ratio,worldwide_ratio,profit_num,roi_num,domestic_pct
28,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,"$225,000,000","$423,315,812","$1,066,215,812",225000000.0,423315812.0,1066215812.0,1.8814036088888888,4.738736942222222,841215812.0,3.7387369422222223,39.70263873745665
29,2013-06-14,Man of Steel,"$225,000,000","$291,045,518","$667,999,518",225000000.0,291045518.0,667999518.0,1.2935356355555556,2.9688867466666666,442999518.0,1.9688867466666666,43.56971976138462
30,2008-05-16,The Chronicles of Narnia: Prince Caspian,"$225,000,000","$141,621,490","$417,341,288",225000000.0,141621490.0,417341288.0,0.6294288444444445,1.854850168888889,192341288.0,0.8548501688888889,33.934215011096626
31,2012-07-03,The Amazing Spider-Man,"$220,000,000","$262,030,663","$757,890,267",220000000.0,262030663.0,757890267.0,1.191048468181818,3.444955759090909,537890267.0,2.444955759090909,34.57369416250862
32,2012-05-18,Battleship,"$220,000,000","$65,233,400","$313,477,717",220000000.0,65233400.0,313477717.0,0.2965154545454545,1.4248987136363636,93477717.0,0.4248987136363636,20.809581179896114
33,2017-06-21,Transformers: The Last Knight,"$217,000,000","$130,168,683","$602,893,340",217000000.0,130168683.0,602893340.0,0.5998556820276497,2.778310322580645,385893340.0,1.7783103225806451,21.59066527422579
34,2015-06-12,Jurassic World,"$215,000,000","$652,270,625","$1,648,854,864",215000000.0,652270625.0,1648854864.0,3.0338168604651163,7.669092390697674,1433854864.0,6.669092390697674,39.559007844852985
35,2012-05-25,Men in Black 3,"$215,000,000","$179,020,854","$654,213,485",215000000.0,179020854.0,654213485.0,0.8326551348837209,3.042853418604651,439213485.0,2.042853418604651,27.364286751135985
36,2009-06-24,Transformers: Revenge of the Fallen,"$210,000,000","$402,111,870","$836,519,699",210000000.0,402111870.0,836519699.0,1.9148184285714285,3.983427138095238,626519699.0,2.983427138095238,48.069623522398366
37,2014-06-27,Transformers: Age of Extinction,"$210,000,000","$245,439,076","$1,104,039,076",210000000.0,245439076.0,1104039076.0,1.1687575047619048,5.2573289333333335,894039076.0,4.2573289333333335,22.23101349720705
38,2006-05-26,X-Men: The Last Stand,"$210,000,000","$234,362,462","$459,260,946",210000000.0,234362462.0,459260946.0,1.1160117238095237,2.186956885714286,249260946.0,1.1869568857142858,51.03034865934366
39,2010-05-14,Robin Hood,"$210,000,000","$105,487,148","$322,459,006",210000000.0,105487148.0,322459006.0,0.5023197523809524,1.5355190761904762,112459006.0,0.5355190761904762,32.713351476373404
