movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,aka_title,region,language,log_numVotes,runtime_winsorized,tmdb_match,Unnamed: 0,genre_ids,id_numbers,original_language,original_title,popularity,title,vote_average,vote_count,release_year,log_popularity,combined_score,movie_name_match,id_imdb/tmdb,release_date,movie,production_budget,domestic_gross,worldwide_gross,production_budget_num,domestic_gross_num,worldwide_gross_num,domestic_ratio,worldwide_ratio,profit_num,roi_num,domestic_pct
tt1222817,Zookeeper,2011,102.0,"Comedy,Family,Romance",5.2,52396.0,A gondozoo,HU,Unknown,10.866604616761784,102.0,Zookeeper,2598,"[35, 10749, 10751]",38317,en,Zookeeper,10.764,Zookeeper,5.3,886,2011,2.4650440206917485,319.4172,Zookeeper,71,2011-07-08,Zookeeper,"$80,000,000","$80,360,866","$170,805,525",80000000.0,80360866.0,170805525.0,1.004510825,2.1350690625,90805525.0,1.1350690625,47.04816545015157
tt1017451,The Runaways,2010,106.0,"Biography,Drama,Music",6.6,43792.0,As Runaways,PT,Unknown,10.687229266240786,106.0,The Runaways,226,"[18, 10402]",27586,en,The Runaways,8.19,The Runaways,6.4,448,2010,2.2181159363675955,317.6992,The Runaways,57,2010-03-19,The Runaways,"$9,500,000","$3,573,673","$5,278,632",9500000.0,3573673.0,5278632.0,0.3761761052631578,0.5556454736842106,-4221368.0,-0.4443545263157895,67.70074140421231
tt1068242,Footloose,2011,113.0,"Comedy,Drama,Music",5.9,43251.0,Footloose,Unknown,Unknown,10.674798754065428,113.0,Footloose,2619,"[18, 10402, 10749]",68817,en,Footloose,10.269,Footloose,6.6,929,2011,2.4220555929702123,316.49490000000003,Footloose,39,2011-10-14,Footloose,"$24,000,000","$51,802,742","$62,989,834",24000000.0,51802742.0,62989834.0,2.1584475833333334,2.6245764166666667,38989834.0,1.6245764166666667,82.2398452423291
tt1068242,Footloose,2011,113.0,"Comedy,Drama,Music",5.9,43251.0,Footloose,Unknown,Unknown,10.674798754065428,113.0,Footloose,2619,"[18, 10402, 10749]",68817,en,Footloose,10.269,Footloose,6.6,929,2011,2.4220555929702123,316.49490000000003,Footloose,61,1984-02-17,Footloose,"$8,200,000","$80,000,000","$80,000,000",8200000.0,80000000.0,80000000.0,9.75609756097561,9.75609756097561,71800000.0,8.75609756097561,100.0
tt1414382,You Again,2010,105.0,"Comedy,Family,Romance",5.8,46690.0,Ancora tu!,IT,Unknown,10.751306705598122,105.0,You Again,124,"[35, 10749]",38303,en,You Again,10.208,You Again,6.2,734,2010,2.416627809034706,316.31,You Again,78,2010-09-24,You Again,"$20,000,000","$25,702,053","$32,838,945",20000000.0,25702053.0,32838945.0,1.28510265,1.64194725,12838945.0,0.64194725,78.26698756613527
tt5688932,Sorry to Bother You,2018,111.0,"Comedy,Fantasy,Sci-Fi",7.0,40290.0,Izvinite na smetnji,RS,Unknown,10.603883397931984,111.0,Sorry to Bother You,23966,"[14, 878, 35]",424781,en,Sorry to Bother You,15.887,Sorry to Bother You,6.9,481,2018,2.826544095149999,315.219,Sorry to Bother You,54,2018-07-06,Sorry to Bother You,"$3,200,000","$17,493,096","$18,285,560",3200000.0,17493096.0,18285560.0,5.4665925,5.7142375,15085560.0,4.7142375,95.66617593335944
tt1416801,Kill the Irishman,2011,106.0,"Biography,Crime,Drama",7.1,41504.0,Bulletproof Gangster,DE,Unknown,10.633569180889136,106.0,Kill the Irishman,2822,"[28, 80, 53, 18]",51209,en,Kill the Irishman,7.13,Kill the Irishman,6.9,274,2011,2.0955609235597192,313.58439999999996,Kill the Irishman,32,2011-03-11,Kill the Irishman,"$12,000,000","$1,188,194","$1,188,194",12000000.0,1188194.0,1188194.0,0.0990161666666666,0.0990161666666666,-10811806.0,-0.9009838333333332,100.0
tt1727776,Scouts Guide to the Zombie Apocalypse,2015,93.0,"Action,Comedy,Horror",6.3,40479.0,A la *&$%! con los Zombis,CL,Unknown,10.608563303961349,93.0,Scouts Guide to the Zombie Apocalypse,14304,"[35, 27]",273477,en,Scouts Guide to the Zombie Apocalypse,10.451,Scouts Guide to the Zombie Apocalypse,6.2,915,2015,2.4380770624312023,311.7477,Scouts Guide to the Zombie Apocalypse,25,2015-10-30,Scouts Guide to the Zombie Apocalypse,"$15,000,000","$3,703,046","$15,554,855",15000000.0,3703046.0,15554855.0,0.2468697333333333,1.0369903333333332,554855.0,0.0369903333333333,23.806367851066433
tt2231253,Wild Card,2015,92.0,"Action,Crime,Drama",5.6,46463.0,Carta Selvagem,BR,Unknown,10.746433098184468,92.0,Wild Card,14190,"[53, 80, 28]",265208,en,Wild Card,22.504,Wild Card,5.5,930,2015,3.1571706194315214,311.34279999999995,Wild Card,5,2015-01-30,Wild Card,"$30,000,000","$3,200","$4,315,789",30000000.0,3200.0,4315789.0,0.0001066666666666,0.1438596333333333,-25684211.0,-0.8561403666666667,0.0741463496014286
tt1531663,Everything Must Go,2010,97.0,"Comedy,Drama",6.4,45799.0,Alles muss raus,DE,Unknown,10.732039370102276,97.0,Everything Must Go,2788,"[35, 18, 10749]",45658,en,Everything Must Go,7.493,Everything Must Go,6.0,301,2011,2.139242294797872,311.1736,Everything Must Go,50,2011-05-13,Everything Must Go,"$5,000,000","$2,712,131","$2,821,010",5000000.0,2712131.0,2821010.0,0.5424262,0.564202,-2178990.0,-0.435798,96.14042488328649
tt1647668,Million Dollar Arm,2014,124.0,"Biography,Drama,Sport",7.0,41008.0,Arremesso de Ouro,BR,Unknown,10.62154683379229,124.0,Million Dollar Arm,11326,[18],198185,en,Million Dollar Arm,7.771,Million Dollar Arm,6.8,353,2014,2.171450824969245,311.06,Million Dollar Arm,17,2014-05-16,Million Dollar Arm,"$25,000,000","$36,447,959","$39,217,912",25000000.0,36447959.0,39217912.0,1.45791836,1.56871648,14217912.0,0.56871648,92.9370207164522
